Type;Ticket;Symbol;Lots;Buy/sell;Open price;Close price;Open time;Close time;Profit;Swap;Commission;T/P;S/L;Pips;Result;Trade duration (hours);Magic number;Order comment;MAE;MFE;FX Blue Live account
Deposit;60687237;;0;;0;0;2009/08/04 18:36:34;2009/08/04 18:36:34;5000;0;0;0;0;0;n/a;0;0;Deposit;0;0;example
Closed position;60730663;EURCHF;0.12;Sell;1.52714;1.52698;2009/08/05 01:20:27;2009/08/05 03:06:33;1.81;0;0;1.52114;1.53143;1.6;Win;1.77;33333337;;-0.00045;0.0003;example
Closed position;60881925;EURUSD;0.09;Buy;1.44046;1.44149;2009/08/05 23:01:22;2009/08/05 23:48:45;9.27;0;0;1.44546;1.43539;10.3;Win;0.79;77777773;;-0.00009;0.0011;example
Closed position;60884116;EURGBP;0.09;Sell;0.84861;0.8483;2009/08/05 23:21:06;2009/08/06 00:21:09;4.74;0.14;0;0.84361;0.85281;3.1;Win;1;77777773;;-0.00006;0.0011;example
Closed position;60891501;EURCHF;0.09;Sell;1.52978;1.52959;2009/08/06 01:29:37;2009/08/06 03:15:18;1.61;0;0;1.52378;1.53409;1.9;Win;1.76;33333337;;-0.00033;0.00029;example
Closed position;61071423;EURGBP;0.09;Sell;0.85569;0.85509;2009/08/07 00:09:44;2009/08/07 01:57:16;9.08;0;0;0.84969;0.86197;6.0;Win;1.79;33333337;;-0.00006;0.0009;example
Closed position;61074101;EURUSD;0.09;Sell;1.43606;1.43601;2009/08/07 00:40:46;2009/08/07 03:45:06;0.45;0;0;1.43106;1.44317;0.5;Win;3.07;77777773;;-0.00122;0.0004;example
Closed position;61078790;EURCHF;0.09;Sell;1.52881;1.52879;2009/08/07 01:58:30;2009/08/07 03:58:50;0.17;0;0;1.52281;1.5331;0.2;Win;2.01;33333337;;-0.00019;0.0004;example
Closed position;61640898;EURCHF;0.09;Sell;1.53081;1.53062;2009/08/12 00:18:03;2009/08/12 01:52:29;1.58;0;0;1.52481;1.53512;1.9;Win;1.57;33333337;;-0.0004;0.00034;example
Closed position;61886421;EURCHF;0.09;Sell;1.53066;1.52966;2009/08/12 23:01:17;2009/08/12 23:05:03;8.34;0;0;1.52566;1.53526;10.0;Win;0.06;77777773;;0;0;example
Closed position;61887588;USDCHF;0.13;Sell;1.0789;1.07773;2009/08/12 23:02:42;2009/08/12 23:13:41;14.11;0;0;1.0739;1.08467;11.7;Win;0.18;77777773;;0;0;example
Closed position;61897424;EURCHF;0.09;Sell;1.5296;1.5295;2009/08/13 00:51:54;2009/08/13 02:52:26;0.84;0;0;1.5236;1.53395;1;Win;2.01;33333337;;-0.00044;0.00076;example
Closed position;62152444;EURCHF;0.09;Sell;1.52886;1.52874;2009/08/14 00:58:34;2009/08/14 01:58:37;1.01;0;0;1.52286;1.53323;1.2;Win;1;33333337;;-0.00019;0.00029;example
Closed position;62503683;EURGBP;0.09;Sell;0.86208;0.86201;2009/08/18 00:59:57;2009/08/18 02:14:05;1.03;0;0;0.85708;0.8663;0.7;Win;1.24;77777773;;-0.00065;0.00048;example
Closed position;62501107;EURCHF;0.09;Sell;1.51808;1.51803;2009/08/18 00:32:19;2009/08/18 05:31:14;0.42;0;0;1.51208;1.52241;0.5;Win;4.98;33333337;;-0.00125;0.00038;example
Closed position;62728725;USDCHF;0.13;Sell;1.07606;1.07533;2009/08/19 00:17:05;2009/08/19 01:28:02;8.83;0;0;1.07006;1.08246;7.3;Win;1.18;33333337;;-0.00023;0.00351;example
Closed position;62730772;EURCHF;0.09;Sell;1.52045;1.52009;2009/08/19 00:32:37;2009/08/19 01:52:29;3.02;0;0;1.51445;1.52478;3.6;Win;1.33;33333337;;-0.00052;0.00098;example
Closed position;62747251;EURCHF;0.09;Buy;1.51984;1.52064;2009/08/19 01:53:44;2009/08/19 03:01:49;6.7;0;0;1.52584;1.51553;8.0;Win;1.13;33333337;;-0.00019;0.00098;example
Closed position;63066240;EURGBP;0.09;Sell;0.86084;0.86037;2009/08/20 00:41:19;2009/08/20 01:46:37;7;0;0;0.85484;0.86717;4.7;Win;1.09;33333337;;-0.00004;0.00069;example
Closed position;63066966;USDCHF;0.13;Sell;1.06548;1.06469;2009/08/20 00:45:21;2009/08/20 01:55:48;9.65;0;0;1.05948;1.07188;7.9;Win;1.17;33333337;;-0.00059;0.00148;example
Closed position;63067020;EURCHF;0.09;Sell;1.51645;1.51792;2009/08/20 00:45:24;2009/08/20 05:45:33;-12.39;0;0;1.51045;1.52079;-14.7;Loss;5;33333337;;-0.0016;0.00059;example
Closed position;63306098;USDCHF;0.13;Sell;1.06374;1.06347;2009/08/20 23:12:52;2009/08/21 00:13:25;3.3;-0.16;0;1.05874;1.06842;2.7;Win;1.01;77777773;;-0.00011;0.00186;example
Closed position;63313215;EURUSD;0.09;Sell;1.42615;1.42549;2009/08/21 00:36:07;2009/08/21 02:00:07;5.94;0;0;1.42115;1.43038;6.6;Win;1.4;77777773;;-0.00075;0.00105;example
Closed position;63313998;EURCHF;0.18;Sell;1.51539;1.51528;2009/08/21 00:43:46;2009/08/21 02:20:13;1.87;0;0;1.50939;1.5198;1.1;Win;1.61;33333337;;-0.00052;0.00036;example
